text,normalized_text,label
dạo này pản động nhiếu quá mấy bạn bò đỏ ah d,dạo này pản động nhiếu quá mấy bạn bò đỏ ah d,0
ủa ah nói hay vậy,ủa ah nói hay vậy,0
trang nay bi bon viet tan mua dut rồi bay gio chi thay mui thôi không ah,trang nay bi bon viet tan mua dut rồi bay gio chi thay mui thôi không ah,0
cờ giáo hội tựng trưng cho hòa bình công lý không biết ah,cờ giáo hội tựng trưng cho hòa bình công lý không biết ah,0
ah độ đẹp đôi với chị trang quá,ah độ đẹp đôi với chị trang quá,0
con chúc cô với ah châu có nhiều sức khỏe nhé,con chúc cô với ah châu có nhiều sức khỏe nhé,0
đêm nào em cũng xem liếp của chị hết hình chị có hậu và đẹp lắm chị ah,đêm nào em cũng xem liếp của chị hết hình chị có hậu và đẹp lắm chị ah,0
cái này vẫn còn ah anh,cái này vẫn còn ah anh,0
em ơi con linh dai loan no co nhô lông dai táng em chua ma em lai lên xi gon kiêm no con nua lam nhu em co bao nhiêu vang lây ra đéo hêt hay sao vây dzom giông vang gia nhin den thôi lui ha nêu la vang thiêt thi no se sang loe luôn ah em ơi cho anh noi nghe ne em quên cai con linh dai loan di no noi bon cộng sản việt nam an cut táng no nêu ma no ngung goi tiên usd ve thôi chu no không co noi em an cut táng no em co biet miên tây bây gio bi nuoc man va khô han khong ne bon trung quôc no ngan dong chây táng sông me kông rôi dân mien tay se chet doi het em chui thang trung quoc dum anh di em em dzam chui khong ne anh so bn trung công no den nhé em no nhô sach lông dai táng em do nhé,em ơi con linh dai loan no co nhô lông dai táng em chua ma em lai lên xi gon kiêm no con nua lam nhu em co bao nhiêu vang lây ra đéo hêt hay sao vây dzom giông vang gia nhin den thôi lui ha nêu la vang thiêt thi no se sang loe luôn ah em ơi cho anh noi nghe ne em quên cai con linh dai loan di no noi bon cộng sảng việt nam an cut táng no nêu ma no ngung goi tiên usd ve thôi chu no không co noi em an cut táng no em co biet miên tây bây gio bi nuoc man va khô han khong ne bon trung quôc no ngan dong chây táng sông me kông rôi dân mien tay se chet doi het em chui thang trung quoc dum anh di em em dzam chui khong ne anh so bn trung công no den nhé em no nhô sach lông dai táng em do nhé,1
bố độ chấn tiền ah bô cao lãnh,bố độ chấn tiền ah bô cao lãnh,0
chuẩn luôn không thích theo dõi facebook thì bỏ theo dõi đi theo dõi người ta mà không chấp nhận những gì người ta đăng vậy hoá là sống giả tạo ah,chuẩn luôn không thích theo dõi facebook thì bỏ theo dõi đi theo dõi người ta mà không chấp nhận những gì người ta đăng vậy hoá là sống giả tạo ah,0
địt mẹ thằng quản trị viên này phản lại cái động bố nó thông minh tài giỏi mới làm lãnh đạo nó có gen di truyền thông minh tài giỏi đó mới làm lãnh đạo như bố nó không lẽ mày muốn thằng phụ bếp làm tủ lạnh thằng thiến heo làm tổng bí thư vậy vậy địt mẹ có mà xuống hố cả nút đất nước này ah địt mẹ,địtao mẹ thằng quản trị viên này phản lại cái động bố nó thông minh tài giỏi mới làm lãnh đạo nó có gen di truyền thông minh tài giỏi đó mới làm lãnh đạo như bố nó không lẽ mày muốn thằng phụ bếp làm tủ lạnh thằng thiến heo làm tổng bí thư vậy vậy địtao mẹ có mà xuống hố cả nút đất nước này ah địtao mẹ,0
địt con mẹ chúng nó vẽ rađể ăn chia với nhau ý mà làm cổng để tế thằng tổ chúng nó ah,địt con mẹ chúng nó vẽ rađể ăn chia với nhau ý mà làm cổng để tế thằng tổ chúng nó ah,1
bà cũng thiệt tình ghê giờ chưa có cho từ thiện toàn mấy anh mấy chị cho không ah,bà cũng thiệt tình ghê giờ chưa có cho từ thiện toàn mấy anh mấy chị cho không ah,0
tân hiệp phát ah,tân hiệp phát ah,0
ờ nghe đồn dự kiến tới năm việt nam sẽ đứng trong số những nc có nền kiểm tra phát triển gì đó mà trước mắt thấy là ba cái vô bổ này là dân chịu nợ không biết bn tiền rồi ăn ở không nên rửa tiền chơi ah,ờ nghe đồn dự kiến tới năm việtao nam sẽ đứng trong số những nc có nền kiểm tra phát triển gì đó mà trước mắt thấy là ba cái vô bổ này là dân chịu nợ không biết bn tiền rồi ăn ở không nên rửa tiền chơi ah,0
gioi da nguoi nua moi chiu ah,gioi da nguoi nua moi chiu ah,1
ngọc hoàng lại đi rừng ah,ngọc hoàng lại đi rừng ah,0
hợp lý quá ah yêu,hợp lý quá ah yêu,0
thôi đi ông tướng ah,thôi đi ông tướng ah,0
năm đấy các ông ah,năm đấy các ông ah,0
chi khanh chi nhin không ai it lam viec it hoi anh tuan hoi không ah,chi khanh chi nhin không ai it lam viec it hoi anh tuan hoi không ah,0
thich anh chau quá ah,thich anh chau quá ah,0
ơ thế bà già của mụ này ngoại tình với ông hồ lòi ra mụ ah,ơ thế bà già của mụ này ngoại tình với ông hồ lòi ra mụ ah,0
nguyen mai thi cũng chung team ah c ha ha,nguyen mai thi cũng chung team ah c ha ha,1
tụi trung nó quá việt nam mặc áo dài luôn rồi ah các bạn bò vô cho mình tí ý kiến với thanks các bạn,tụi trung nó quá việtao nam mặc áo dài luôn rồi ah các bạn bò vô cho mình tí ý kiến với thanks các bạn,0
ah châu đep trai vãi,ah châu đep trai vãi,0
đoàn duy diện ở đâu thế ạ ah,đoàn duy diện ở đâu thế ạ ah,0
ai cung thich dep do dieu kien không cho phep c ah,ai cung thich dep do dieu kien không cho phep c ah,0
nam nữ giong nhau đàn ông không bao giờ nhịn bủm ah,nam nữ giong nhau đàn ông không bao giờ nhịn bủmày ah,0
thím không thấy cái áo lót ở hộp chữa cháy ah,thím không thấy cái áo lót ở hộp chữa cháy ah,0
minh tuân đẹp trai quá ah,minh tuân đẹp trai quá ah,0
được ah,được ah,0
nó lại hợp lí ah,nó lại hợp lí ah,0
cái thằng tung cựa nó lại đi trước chúng ta ah đã duyệt bao nhiêu cái tượng đài tốn bao nhiêu tiền tỷ rồi mà không có cái nào to nhất để đập là sao hả các đồng chí về viết kiểm điểm hết cho tôi,cái thằng tung cựa nó lại đi trước chúng ta ah đã duyệt bao nhiêu cái tượng đài tốn bao nhiêu tiền tỷ rồi mà không có cái nào to nhất để đập là sao hả các đồng chí về viết kiểm điểm hết cho tôi,0
